[2017-10-05 00:50:05] A Error Code: 0, Message:402, In Line :121, At File:/data/web/restful/app/controller/UserController.php
[2017-10-05 00:50:45] A Error Code: 0, Message:402, In Line :121, At File:/data/web/restful/app/controller/UserController.php
[2017-10-05 01:02:52] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/SController.php, In Line :155, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-05 01:05:18] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/PhpmyadminController.php, In Line :155, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-05 01:05:18] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/PhpmyadminController.php, In Line :155, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-05 01:05:19] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/PhpmyadminController.php, In Line :155, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-05 01:05:19] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/PhpmyadminController.php, In Line :155, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-05 01:05:20] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/PhpmyadminController.php, In Line :155, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-05 01:05:20] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/PhpmyadminController.php, In Line :155, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-05 01:05:21] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/PhpmyadminController.php, In Line :155, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-05 01:05:21] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/PhpmyadminController.php, In Line :155, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-05 01:05:22] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/PhpmyadminController.php, In Line :155, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-05 01:05:22] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/PhpmyadminController.php, In Line :155, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-05 01:05:23] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/PhpmyadminController.php, In Line :155, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-05 01:05:23] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/PhpmyadminController.php, In Line :155, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-05 01:05:24] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/PhpmyadminController.php, In Line :155, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-05 01:05:25] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/PhpmyadminController.php, In Line :155, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-05 01:05:26] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/PhpmyadminController.php, In Line :155, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-05 01:05:26] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/PhpmyadminController.php, In Line :155, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-05 01:05:27] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/PhpmyadminController.php, In Line :155, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-05 01:05:27] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/PhpmyadminController.php, In Line :155, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-05 01:05:28] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/PhpmyadminController.php, In Line :155, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-05 01:05:28] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/PhpmyadminController.php, In Line :155, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-05 01:18:29] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/MasterStatusController.php, In Line :155, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-05 01:18:35] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/ShowcaseController.php, In Line :155, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-05 01:18:35] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/Struts2ShowcaseController.php, In Line :155, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-05 01:18:35] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/IntegrationController.php, In Line :155, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-05 01:21:28] A Error Code: 0, Message:Request Error: Not Find Controller File!data/web/restful/app/controller/WpJsonController.php, In Line :155, At File:/data/web/restful/vendor/yoc/base/Server.php
[2017-10-05 01:21:59] A Error Code: 0, Message:Get Unknown Method auth, In Line :66, At File:/data/web/restful/vendor/yoc/base/AbServer.php
[2017-10-05 01:22:17] A Error Code: 0, Message:Get Unknown Method auth, In Line :66, At File:/data/web/restful/vendor/yoc/base/AbServer.php
[2017-10-05 01:22:40] A Error Code: 0, Message:Get Unknown Method auth, In Line :66, At File:/data/web/restful/vendor/yoc/base/AbServer.php
