[2017-09-30 07:50:48] A Error Code: 8, Message:Undefined property: yoc\exception\ErrorHandler::$task_log, In Line :195, At File:/data/web/restful/vendor/yoc/exception/ErrorHandler.php
[2017-09-30 07:50:48] A Error Code: 8, Message:Trying to get property of non-object, In Line :112, At File:/data/web/restful/app/controller/FriendGroupController.php
[2017-09-30 07:50:48] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 07:50:48] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 07:50:48] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 07:50:48] A Error Code: 2, Message:PDO::getAttribute(): MySQL server has gone away, In Line :143, At File:/data/web/restful/vendor/yoc/db/Connect.php
[2017-09-30 07:50:53] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 07:50:53] A Error Code: 8, Message:Undefined property: yoc\exception\ErrorHandler::$task_log, In Line :195, At File:/data/web/restful/vendor/yoc/exception/ErrorHandler.php
[2017-09-30 07:50:53] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 07:50:53] A Error Code: 2, Message:PDO::getAttribute(): MySQL server has gone away, In Line :143, At File:/data/web/restful/vendor/yoc/db/Connect.php
[2017-09-30 07:50:58] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 07:50:58] A Error Code: 8, Message:Undefined property: yoc\exception\ErrorHandler::$task_log, In Line :195, At File:/data/web/restful/vendor/yoc/exception/ErrorHandler.php
[2017-09-30 09:54:14] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:14] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:14] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:14] A Error Code: 8, Message:Undefined property: yoc\exception\ErrorHandler::$task_log, In Line :195, At File:/data/web/restful/vendor/yoc/exception/ErrorHandler.php
[2017-09-30 09:54:15] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:15] A Error Code: 8, Message:Undefined property: yoc\exception\ErrorHandler::$task_log, In Line :195, At File:/data/web/restful/vendor/yoc/exception/ErrorHandler.php
[2017-09-30 09:54:15] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:15] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:15] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:15] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:15] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:15] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:15] A Error Code: 8, Message:Undefined property: yoc\exception\ErrorHandler::$task_log, In Line :195, At File:/data/web/restful/vendor/yoc/exception/ErrorHandler.php
[2017-09-30 09:54:15] A Error Code: 8, Message:Undefined property: yoc\exception\ErrorHandler::$task_log, In Line :195, At File:/data/web/restful/vendor/yoc/exception/ErrorHandler.php
[2017-09-30 09:54:15] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:15] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:15] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:15] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:15] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:15] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:15] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:15] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:15] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:15] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:15] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:15] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:15] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:15] A Error Code: 8, Message:Undefined property: yoc\exception\ErrorHandler::$task_log, In Line :195, At File:/data/web/restful/vendor/yoc/exception/ErrorHandler.php
[2017-09-30 09:54:15] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:15] A Error Code: 8, Message:Undefined property: yoc\exception\ErrorHandler::$task_log, In Line :195, At File:/data/web/restful/vendor/yoc/exception/ErrorHandler.php
[2017-09-30 09:54:15] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:15] A Error Code: 8, Message:Undefined property: yoc\exception\ErrorHandler::$task_log, In Line :195, At File:/data/web/restful/vendor/yoc/exception/ErrorHandler.php
[2017-09-30 09:54:15] A Error Code: 8, Message:Undefined property: yoc\exception\ErrorHandler::$task_log, In Line :195, At File:/data/web/restful/vendor/yoc/exception/ErrorHandler.php
[2017-09-30 09:54:18] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:18] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:18] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:18] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:18] A Error Code: 8, Message:Undefined property: yoc\exception\ErrorHandler::$task_log, In Line :195, At File:/data/web/restful/vendor/yoc/exception/ErrorHandler.php
[2017-09-30 09:54:29] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:29] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:29] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:29] A Error Code: 8, Message:Undefined property: yoc\exception\ErrorHandler::$task_log, In Line :195, At File:/data/web/restful/vendor/yoc/exception/ErrorHandler.php
[2017-09-30 09:54:29] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:29] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:29] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:29] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:29] A Error Code: 8, Message:Undefined property: yoc\exception\ErrorHandler::$task_log, In Line :195, At File:/data/web/restful/vendor/yoc/exception/ErrorHandler.php
[2017-09-30 09:54:30] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:30] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:30] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:30] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:30] A Error Code: 8, Message:Undefined property: yoc\exception\ErrorHandler::$task_log, In Line :195, At File:/data/web/restful/vendor/yoc/exception/ErrorHandler.php
[2017-09-30 09:54:30] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:30] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:30] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:30] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:30] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:30] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:30] A Error Code: 8, Message:Undefined property: yoc\exception\ErrorHandler::$task_log, In Line :195, At File:/data/web/restful/vendor/yoc/exception/ErrorHandler.php
[2017-09-30 09:54:30] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
[2017-09-30 09:54:30] A Error Code: 8, Message:Only variables should be passed by reference, In Line :243, At File:/data/web/restful/vendor/yoc/db/builder/Query.php
